D:\Programi\Python\python.exe D:/Kodovi/Python/DIPLOMSKI/xml_util.py
0 15.0
10 214.0
20 300.0
30 309.0
40 319.0
50 282.0
60 283.0
70 249.0
80 259.0
90 260.0
100 248.0
110 236.0
120 233.0
130 208.0
140 203.0
150 197.0
160 181.0
170 215.0
180 187.0
190 173.0
200 204.0
210 148.0
220 166.0
230 177.0
240 158.0
250 146.0
260 130.0
270 140.0
280 124.0
290 128.0
300 118.0
310 106.0
320 91.0
330 78.0
340 65.0
350 53.0
360 61.0
370 50.0
380 56.0
390 40.0
400 44.0
410 27.0
420 19.0
430 27.0
440 2.0
450 2.0
460 3.0
470 0.0
480 0.0
490 0.0
500 0.0
510 0.0

